"Category";"locus_tag"
"Purine metabolism";"b3806"
"Purine metabolism";"b4005"
"Purine metabolism";"b4006"
"Purine metabolism";"b4177"
"Purine metabolism";"b4213"
"Purine metabolism";"b4238"
"Purine metabolism";"b4383"
"Purine metabolism";"b4384"
"Purine metabolism";"b4394"
"Pyrimidine metabolism";"b0030"
"Pyrimidine metabolism";"b0032"
"Pyrimidine metabolism";"b0033"
"Pyrimidine metabolism";"b0171"
"Pyrimidine metabolism";"b0337"
"Pyrimidine metabolism";"b0391"
"Pyrimidine metabolism";"b0480"
"Pyrimidine metabolism";"b0651"
"Pyrimidine metabolism";"b0675"
"Pyrimidine metabolism";"b0910"
"Pyrimidine metabolism";"b0945"
"Pyrimidine metabolism";"b1007"
"Pyrimidine metabolism";"b1008"
"Pyrimidine metabolism";"b1009"
"Pyrimidine metabolism";"b1010"
"Pyrimidine metabolism";"b1011"
"Pyrimidine metabolism";"b1012"
"Pyrimidine metabolism";"b1062"
"Pyrimidine metabolism";"b1098"
"Pyrimidine metabolism";"b1238"
"Pyrimidine metabolism";"b1281"
"Pyrimidine metabolism";"b1539"
"Pyrimidine metabolism";"b1759"
"Pyrimidine metabolism";"b2065"
"Pyrimidine metabolism";"b2066"
"Pyrimidine metabolism";"b2143"
"Pyrimidine metabolism";"b2146"
"Pyrimidine metabolism";"b2147"
"Pyrimidine metabolism";"b2160"
"Pyrimidine metabolism";"b2162"
"Pyrimidine metabolism";"b2165"
"Pyrimidine metabolism";"b2166"
"Pyrimidine metabolism";"b2234"
"Pyrimidine metabolism";"b2235"
"Pyrimidine metabolism";"b2291"
"Pyrimidine metabolism";"b2361"
"Pyrimidine metabolism";"b2498"
"Pyrimidine metabolism";"b2518"
"Pyrimidine metabolism";"b2675"
"Pyrimidine metabolism";"b2676"
"Pyrimidine metabolism";"b2744"
"Pyrimidine metabolism";"b2780"
"Pyrimidine metabolism";"b2781"
"Pyrimidine metabolism";"b2795"
"Pyrimidine metabolism";"b2827"
"Pyrimidine metabolism";"b2873"
"Pyrimidine metabolism";"b3085"
"Pyrimidine metabolism";"b3248"
"Pyrimidine metabolism";"b3640"
"Pyrimidine metabolism";"b3642"
"Pyrimidine metabolism";"b3831"
"Pyrimidine metabolism";"b4213"
"Pyrimidine metabolism";"b4238"
"Pyrimidine metabolism";"b4244"
"Pyrimidine metabolism";"b4245"
"Pyrimidine metabolism";"b4374"
"Pyrimidine metabolism";"b4382"
"Alanine, aspartate and glutamate metabolism";"b0032"
"Alanine, aspartate and glutamate metabolism";"b0033"
"Alanine, aspartate and glutamate metabolism";"b0219"
"Alanine, aspartate and glutamate metabolism";"b0485"
"Alanine, aspartate and glutamate metabolism";"b0674"
"Alanine, aspartate and glutamate metabolism";"b0828"
"Alanine, aspartate and glutamate metabolism";"b0928"
"Alanine, aspartate and glutamate metabolism";"b1014"
"Alanine, aspartate and glutamate metabolism";"b1131"
"Alanine, aspartate and glutamate metabolism";"b1302"
"Alanine, aspartate and glutamate metabolism";"b1493"
"Alanine, aspartate and glutamate metabolism";"b1524"
"Alanine, aspartate and glutamate metabolism";"b1525"
"Alanine, aspartate and glutamate metabolism";"b1761"
"Alanine, aspartate and glutamate metabolism";"b1767"
"Alanine, aspartate and glutamate metabolism";"b2290"
"Alanine, aspartate and glutamate metabolism";"b2312"
"Alanine, aspartate and glutamate metabolism";"b2574"
"Alanine, aspartate and glutamate metabolism";"b2661"
"Alanine, aspartate and glutamate metabolism";"b2662"
"Alanine, aspartate and glutamate metabolism";"b2957"
"Alanine, aspartate and glutamate metabolism";"b3172"
"Alanine, aspartate and glutamate metabolism";"b3212"
"Alanine, aspartate and glutamate metabolism";"b3213"
"Alanine, aspartate and glutamate metabolism";"b3517"
